title,url,gender,description,top_notes,middle_notes,base_notes,main_accords,gender_ratings,seasonal_ratings,price_ratings,image_url,scrape_duration_seconds,volume
1 Million Lucky Rabanne,https://www.fragrantica.com/perfume/Rabanne/1-Million-Lucky-48903.html,for men,"The best-selling perfumes from the house of Paco Rabanne 1 Million (2008) and Lady Million (2010) get the new interpretations that come out in the spring of 2018 - 1 Million Lucky and Lady Million Lucky.

""Seize your dreams and build your own life. Intensely. Grab hold of happiness when it arises. Pure feeling. Tremble, share, and dare. Without limits. Live every moment, without delay.""

One Million Lucky Eau de Toilette is announced as a pulsating and captivating scent of woody and gourmand tones. It is described as fresh, vivid and sensual. Hazelnut note enriches the composition of woody elements, with fresh ozone combined with Greengage plum.

It is available as a 50 and 100 ml Eau de Toilette.","Plum, Grapefruit, Bergamot","Hazelnut, Honey, Cedar, Cashmere Wood, Orange Blossom, Jasmine","Amberwood, Patchouli, Vetiver, Oakmoss","{""woody"": 10.0, ""sweet"": 7.7, ""nutty"": 7.1, ""honey"": 6.9, ""fruity"": 6.5, ""citrus"": 5.6, ""ozonic"": 4.9, ""amber"": 4.9, ""floral"": 4.4, ""white floral"": 4.4}","{""female"": 34, ""more_female"": 39, ""unisex"": 748, ""more_male"": 1782, ""male"": 1084}","{""winter"": 96.06, ""spring"": 79.08, ""summer"": 34.41, ""fall"": 100.0, ""day"": 77.03, ""night"": 92.62}","{""way overpriced"": 64, ""overpriced"": 351, ""ok"": 1895, ""good value"": 893, ""great value"": 162}",https://fimgs.net/mdimg/perfume/375x500.48903.jpg,36.87,50
1 Million Rabanne,https://www.fragrantica.com/perfume/Rabanne/1-Million-3747.html,for men,"The house of Paco Rabanne's fragrance for men is announced as a fresh and sensual blend of notes, with glittery shine of gold, for which creator Paco Rabanne says the following: ""In all civilizations and religions gold has always managed to seduce people"". Gold is all around us: in architecture, design, jewelry, clothes, accessories, fashion...It is noticeable and respected worldwide and it possesses divine notes. The bottle of this edition for men is created in golden nuances. It represents power, wealth, luxury, durability...

The perfume was inspired by Paco Rabanne's metallic fashion and created in cooperation with three famous noses for perfumes, Christophe Raynaud, Olivier Pescheux and Michel Girard, who mixed this year's edition from the notes of sparkling grapefruit, red orange, mint, rose, cinnamon, spices, blond leather, blond wood, patchouli and amber.

The perfume is available in the amount of 50 and 100 ml, as an edt and with accompanying body care products. 1 Million arrived in August 2008.

1 Million 18 Carats is a LUXE edition that captures with its provocative notes, only for the privileged buyers. The package is very luxurious, made of golden body with a diamond crown. Each bottle is separately numerated and the edition is limited. The outer package – a case that holds a golden lever, is created by Noe Duchaufour-Lawrence.

Let us remind you of the fragrant composition: the perfumers behind it are Christophe Raynaud, Olivier Pescheux and Michel Girard, and the notes are: sexy blood orange, grapefruit, cinnamon, mint, rose, spices, light leather, white wood, patchouli and amber. The new bottle of 1 Million 18 carats is available in 100 ml and it can be re-filed with the perfume.","Blood Mandarin, Grapefruit, Mint","Cinnamon, Rose","Amber, Leather, Indian Patchouli","{""warm spicy"": 10.0, ""cinnamon"": 8.2, ""citrus"": 7.3, ""amber"": 6.2, ""woody"": 6.1, ""leather"": 5.8, ""rose"": 5.3, ""animalic"": 5.1, ""green"": 4.7, ""patchouli"": 4.6}","{""female"": 71, ""more_female"": 46, ""unisex"": 974, ""more_male"": 2662, ""male"": 3639}","{""winter"": 97.22, ""spring"": 34.7, ""summer"": 20.28, ""fall"": 81.95, ""day"": 40.25, ""night"": 100.0}","{""way overpriced"": 207, ""overpriced"": 1031, ""ok"": 3633, ""good value"": 1560, ""great value"": 274}",https://fimgs.net/mdimg/perfume/375x500.3747.jpg,32.82,100
31 Rue Cambon Eau de Parfum Chanel,https://www.fragrantica.com/perfume/Chanel/31-Rue-Cambon-Eau-de-Parfum-41785.html#cc2606354,for women,"31 Rue Cambon Eau de Parfum, “a perfume couture,” is described as a delightful, warm, and elegant chypre fragrance that reflects the epicenter of the universe of Mademoiselle Chanel. It is haute couture in a scent.

The fragrances are available as a 75 ml and a 200 ml Eau de Parfum.","Black Pepper, Bergamot","Iris, Ylang-Ylang, Rose","Patchouli, Labdanum","{""woody"": 10.0, ""iris"": 6.4, ""yellow floral"": 6.4, ""patchouli"": 6.0, ""amber"": 5.6, ""earthy"": 5.6, ""fresh spicy"": 5.5, ""warm spicy"": 5.2, ""powdery"": 5.2, ""sweet"": 5.0}","{""female"": 73, ""more_female"": 67, ""unisex"": 102, ""more_male"": 4, ""male"": 2}","{""winter"": 71.08, ""spring"": 85.54, ""summer"": 40.96, ""fall"": 100.0, ""day"": 87.95, ""night"": 64.66}","{""way overpriced"": 33, ""overpriced"": 56, ""ok"": 89, ""good value"": 18, ""great value"": 3}",https://fimgs.net/mdimg/perfume-thumbs/375x500.41785.jpg,44.92,100
724 Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/724-75754.html,unisex,"In the light of a pure sky rising over the city ascends the elegant silhouette of 724. Urban landscapes and their surrounding architecture overtly influenced the graphic aesthetic of this musky floral Eau de parfum. Luminous, vibrant, and comfortably addictive, 724 invites you to feel the city rhythm. In the top notes, a fresh, urban accord is perceived. It is the sensation of clean, energizing freshness, formed of bergamot from Italy and the verticality of aldehydes with sophisticated, slightly metallic, effervescent facets. At the heart of this fragrance lies an airy aura conveyed by a bouquet structured by jasmine absolute from Egypt, sweet pea, and mock orange. In the base notes, this universe of whiteness surrenders to an enveloping, comforting sensation thanks to sandalwood and white musk accord.

WHITE SANDALWOOD: This Indian wood is considered to be sacred. It is mentioned in many Sanskrit texts and is still burned in Asia during religious celebrations. For perfumers, the Santalum album growing in India, China and Indonesia is the reference, even if there are now two other varieties cultivated in Australia and New Caledonia. The Indian quality is often referred to as Mysore because it is the historical region in the south of the peninsula that produces the largest amount. The oil distilled from the ten-meter tree is rare and expensive, because it takes more than 50 years to obtain a tree that can be used in perfumery. Its low volatility makes it a very persistent base note. Its fragrance is woody, milky, slightly spicy, round, soft and enveloping.

ALDEHYDES: Aldehydes are synthetic compounds that have been used in perfumery since the beginning of the 20th century, and they have very different olfactory characteristics from one another. They can alternately evoke citrus smells (orange, tangerine), soapy smells, or metallic smells reminiscent of a hot iron (steam from the laundry, etc.). Often associated with floral notes, they introduce an effervescent, sophisticated freshness as well as undeniable volume, and they also linger for longer.

BERGAMOT FROM CALABRIA: Known for its fruity edge in Earl Grey tea, Citrus Bergamia is widely used in perfumery because its fresh, sparkling top notes bring a kind of ""smile"" to the perfume. Its oil is obtained by cold expression of the fruit's peel. Southern Italy specializes in the cultivation of this citrus fruit, used in the composition of eau de Cologne and of many women's and men's fragrances, with fresh, floral and aromatic facets unfolding and stretching all the way into the heart of the perfume.

BOUQUET OF FRESH FLOWERS: It is a bouquet of aerial flowers, just picked and barely open, imagined by Francis Kurkdjian. To do this, he reconstituted a seringa, also called the poets' jasmine, with a scent oscillating between orange blossom and fresh jasmine. Then he reproduced the effects of two other mute flowers, the luminous freesia and lily of the valley, and blended them together. The green lily of the valley note magnifies citrus fragrances and leaves an airy floral sensation.

JASMINE FROM EGYPT: Known by its Latin name as jasminum grandiflorum , the jasmine used in perfumery is surprisingly potent and multi-faceted, ranging from orangey-floral, solar, fruity (banana, strawberry, apricot), to animalic and spicy. Jasmine has an astonishingly complex structure for such a fragile flower that needs to be harvested very early in the morning before the sun spoils its fragrance. Its scent can only be extracted with volatile solvents and is very expensive due to its low yield of essential oil. Its kaleidoscope of nuances blends perfectly with other flowers as well as woods or ambery accords.

MUSKS: Initially extracted from Tibetan musk deers, natural musk has been banned in perfumery since 1973. Synthetic molecules designed to replace it appeared at the end of the 19th century, so today there is a wide selection of musky notes with an olfactory palette ranging from fruity, to woody to animal facets. Musks are very persistent and relatively non-volatile base notes. They have been extensively used in detergents and fabric softeners, and are commonly referred to as white musks because they evoke the scent of soft, fluffy clean linen, and conjure up a feeling of tenderness and comfort suitable for all kinds of fragrances. With their inimitable mellowness highly appreciated by the general public, today musky notes are present in the vast majority of women's and men's perfumes.

""There is something about big cities that sweeps over you, electrifies you, elevates you. I translated that communicative energy, that life pulsating in unison, into a fragrance."" - said Francis Kurkdjian.

724 fragrance is available as 35ml, 70ml and 200ml Eau de Parfum.","Aldehydes, Calabrian bergamot","Egyptian Jasmine, Mock Orange, Sweet Pea","White Musk, Sandalwood","{""white floral"": 10.0, ""aldehydic"": 10.0, ""musky"": 8.3, ""citrus"": 7.7, ""fresh"": 7.6, ""powdery"": 7.0, ""floral"": 6.7, ""sweet"": 6.2, ""fresh spicy"": 5.3, ""woody"": 5.2}","{""female"": 253, ""more_female"": 331, ""unisex"": 755, ""more_male"": 57, ""male"": 31}","{""winter"": 24.03, ""spring"": 96.77, ""summer"": 100.0, ""fall"": 33.83, ""day"": 99.17, ""night"": 18.67}","{""way overpriced"": 446, ""overpriced"": 437, ""ok"": 263, ""good value"": 37, ""great value"": 18}",https://fimgs.net/mdimg/perfume-thumbs/375x500.75754.jpg,38.29,200
Acqua di Gioia Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-8442.html,for women,"Acqua di Gioia is a new fragrance by Giorgio Armani, presented in March 2010. Seductive sea aromas in the new fragrance are put into first plan and used as creators' inspiration. Composition of the perfume is compared with woman who is ''strong, dignified and free spirit but in perfect harmony with nature''.

Inspired by several summer holidays spent on the islands of Pantelleria and Antigua, where Armani has his villas, the fragrance was lead by the idea of escape into nature, a heavenly place of real holiday where we restore the energy necessary to body and soul, and where we create natural balance.

Its flacon was made as a natural shape – water drops which are clear, airy, and pellucid.

The fragrance arrives on the market in June 2010 as a blend of refreshing notes of crushed mint leaves and lemon Limone Primo Fiore Femminello from Calabria. Structure of the composition pushes the limits from fresh citruses to a floral heart which encompasses aquatic jasmine, dewy peony and pink pepper, while a base closes with cedar, yellow sugar and labdanum. Acqua di Gioia was created by three perfumers: Loc Dong, Anne Flipo and Dominique Ropion, who see it as Eve's seduction and as fragrance turned completely towards the nature.

The perfume can be purchased as 30, 50 and 100 ml EDP, along with 200 ml body lotion.","Amalfi Lemon, Mint",Water Jasmine,"Virginia Cedar, Brown sugar, French labdanum","{""aromatic"": 10.0, ""citrus"": 10.0, ""green"": 9.6, ""white floral"": 6.9, ""fresh spicy"": 6.3, ""woody"": 5.9, ""fresh"": 4.8}","{""female"": 1634, ""more_female"": 940, ""unisex"": 446, ""more_male"": 11, ""male"": 14}","{""winter"": 11.73, ""spring"": 67.07, ""summer"": 100.0, ""fall"": 15.21, ""day"": 99.26, ""night"": 16.02}","{""way overpriced"": 98, ""overpriced"": 533, ""ok"": 1489, ""good value"": 440, ""great value"": 66}",https://fimgs.net/mdimg/perfume/375x500.8442.jpg,34.26,200
Acqua di Gio Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,for men,"Inspired by beauty of Pantellerie, where he spent his vacation, Armani created the aroma of Aqua di Gio for men and women. The fragrance for men is a scent of freedom, full of wind and water. The composition is built of a perfect harmony of sweet and salty notes of sea water and nuances of sunny warmth on your skin. Aqua di Gio is full of scorching Mediterranean sun. Bitter citrus with aromatic nuance of rosemary intertwines with salty, sea nuances and pellucid hedione. Sharp notes of spices are softened by woody base with warm, musky trail.

It was created in 1996 by Alberto Morillas.","Lime, Lemon, Bergamot, Jasmine, Orange, Mandarin Orange, Neroli","Jasmine, Calone, Rosemary, Peach, Freesia, Hiacynth, Cyclamen, Violet, Coriander, Rose, Nutmeg, Mignonette","White Musk, Cedar, Oakmoss, Patchouli, Amber","{""citrus"": 10.0, ""aromatic"": 6.6, ""marine"": 5.8, ""fresh spicy"": 5.1, ""floral"": 4.8, ""woody"": 4.5, ""fresh"": 4.5}","{""female"": 60, ""more_female"": 18, ""unisex"": 845, ""more_male"": 2765, ""male"": 4338}","{""winter"": 10.2, ""spring"": 68.5, ""summer"": 100.0, ""fall"": 19.12, ""day"": 94.14, ""night"": 20.94}","{""way overpriced"": 268, ""overpriced"": 1462, ""ok"": 3783, ""good value"": 1464, ""great value"": 286}",https://fimgs.net/mdimg/perfume/375x500.410.jpg,36.87,100
Acqua di Giò Profumo Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,for men,"Armani presented its popular masculine aquatic fragrance Acqua di Gio in 1996. Nearly 20 years later, a new version of the fragrance is launched—Acqua di Gio Profumo, elegant, airy and deep. The fragrance symbolizes the merging of sea waves with black rocks.

Acqua di Gio Profumo is an aquatic, aromatic, woody and spicy composition which is, like the original, signed by Alberto Morillas. It opens with fresh aquatic accord and bergamot. Its heart captures aromatic tones of geranium, sage and rosemary, laid on the base of patchouli and incense.

The face of the fragrance as well as of the new campaign for the original is Jason Morgan. It is available in black bottles of 40, 75 and 125 ml.",Bergamot,"Rosemary, Sage, Geranium","Incense, Patchouli","{""aromatic"": 10.0, ""marine"": 7.2, ""fresh spicy"": 6.9, ""amber"": 6.2, ""woody"": 5.9, ""smoky"": 5.9, ""warm spicy"": 5.8, ""citrus"": 5.8, ""balsamic"": 5.5, ""patchouli"": 5.3}","{""female"": 48, ""more_female"": 15, ""unisex"": 172, ""more_male"": 1091, ""male"": 6535}","{""winter"": 36.77, ""spring"": 95.7, ""summer"": 100.0, ""fall"": 73.02, ""day"": 93.39, ""night"": 81.75}","{""way overpriced"": 345, ""overpriced"": 1527, ""ok"": 4001, ""good value"": 1204, ""great value"": 230}",https://fimgs.net/mdimg/perfume/375x500.29727.jpg,39.48,100
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html,unisex,"Acqua di Parma Blu Mediterraneo - Fico di Amalfi was presented in 2006 as a floral-fruity fragrance for women.

The top notes bring the Italian breeze from the Mediterranean, with fresh and sweet notes of bergamot, orange, luminous lemon, dazzling bittery grapefruit and mandarin wood. A heart is composed of fig, pink pepper and jasmine, while a base is full of musk, cedar and fig milk.

It comes as 60ml and 120ml (2 and 4 oz)EDT with matching body care products.","Grapefruit, Bergamot, Citron, Lemon","Fig Nectar, Jasmine, Pink Pepper","Fig Tree, Cedar, Benzoin","{""citrus"": 10.0, ""woody"": 7.5, ""fruity"": 6.0, ""sweet"": 5.1, ""fresh spicy"": 4.5, ""aromatic"": 4.5}","{""female"": 143, ""more_female"": 319, ""unisex"": 2124, ""more_male"": 551, ""male"": 155}","{""winter"": 4.5, ""spring"": 63.93, ""summer"": 100.0, ""fall"": 13.36, ""day"": 85.38, ""night"": 13.97}","{""way overpriced"": 169, ""overpriced"": 630, ""ok"": 1467, ""good value"": 534, ""great value"": 78}",https://fimgs.net/mdimg/perfume/375x500.1687.jpg,38.72,100
Alien Goddess Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html,for women,"Alien Goddess, the new Mugler perfume from the Alien collection, targets Generation-Z; a younger population yet to meet Mugler as a brand.

Willow Smith, the daughter of Will Smith and Jadae Pinkett Smith who is a singer and actress, has been chosen to embody a new vision of femininity that is at once strong, powerful, inclusive and “edgy”. The campaign was directed by Emmanuel Adjei and photographed by Txema Yeste.

Alien Goddess includes bergamot essence, jasmine grandiflorum SuperInfusion, Madagascar Bourbon vanilla and a note of cashmere. It was created by Firmenich perfumers Nathalie Lorson and Marie Salamagne.

The Alien Goddess bottle retains the shape of the original Alien fragrance, launched in 2005, but in a golden color. The fragrance is available as 30, 60 and 90 ml Eau de Parfum.","Coconut Water, Bergamot","Jasmine, Heliotrope","Bourbon Vanilla, Cashmeran","{""vanilla"": 10.0, ""powdery"": 8.1, ""white floral"": 6.3, ""woody"": 5.5, ""citrus"": 5.1, ""musky"": 5.0, ""floral"": 4.5}","{""female"": 2833, ""more_female"": 562, ""unisex"": 135, ""more_male"": 11, ""male"": 12}","{""winter"": 30.95, ""spring"": 65.13, ""summer"": 100.0, ""fall"": 48.69, ""day"": 99.06, ""night"": 44.46}","{""way overpriced"": 255, ""overpriced"": 829, ""ok"": 1626, ""good value"": 389, ""great value"": 86}",https://fimgs.net/mdimg/perfume/375x500.68354.jpg,35.25,50
Alien Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-707.html,for women,"Alien spreads an aura, and it claims the right to do that by its very name. Thirteen years after the huge success of Angel, Thierry Mugler challenges the world of perfumery once again.

Alien is a magic elixir captured in a bottle of deep and mysterious purple with the shape of a talisman, reminiscent of a philosopher's stone or some warlock object.

The creators of Alien based the composition on three main lines: warm, white amber in the base, woodsy notes in the heart, and sunny Indian jasmine in the top.",Jasmine Sambac,Cashmeran,Amber,"{""white floral"": 10.0, ""amber"": 7.2}","{""female"": 5840, ""more_female"": 1781, ""unisex"": 892, ""more_male"": 36, ""male"": 56}","{""winter"": 92.75, ""spring"": 39.75, ""summer"": 23.07, ""fall"": 76.49, ""day"": 48.4, ""night"": 100.0}","{""way overpriced"": 430, ""overpriced"": 1529, ""ok"": 4109, ""good value"": 1340, ""great value"": 336}",https://fimgs.net/mdimg/perfume/375x500.707.jpg,36.48,100
